density,wind_speed,direction,strategy,perc_burned,perc_preburned,village_damaged
50,0,1,Nothing,88.83,6.03,True
50,3,1,Nothing,88.22,6.03,True
50,3,2,Nothing,89.10,5.97,True
50,3,3,Nothing,88.20,5.99,True
50,3,4,Nothing,88.61,6.01,True
50,3,5,Nothing,87.70,6.04,True
50,3,6,Nothing,87.80,6.04,True
50,3,7,Nothing,87.85,6.02,True
50,3,8,Nothing,88.64,5.98,True
50,7,1,Nothing,88.48,6.01,True
50,7,2,Nothing,88.95,6.02,True
50,7,3,Nothing,88.15,6.02,True
50,7,4,Nothing,88.75,6.08,True
50,7,5,Nothing,87.90,6.01,True
50,7,6,Nothing,88.01,6.00,True
50,7,7,Nothing,88.39,6.06,True
50,7,8,Nothing,88.83,6.02,True
50,23,1,Nothing,89.16,6.02,True
50,23,2,Nothing,37.35,5.95,False
50,23,3,Nothing,1.86,0.00,False
50,23,4,Nothing,2.10,0.00,False
50,23,5,Nothing,1.82,0.00,False
50,23,6,Nothing,1.92,0.00,False
50,23,7,Nothing,2.21,0.00,False
50,23,8,Nothing,2.02,0.00,False
55,0,1,Nothing,1.99,0.00,False
55,3,1,Nothing,1.90,0.00,False
55,3,2,Nothing,2.01,0.00,False
55,3,3,Nothing,1.86,0.00,False
55,3,4,Nothing,1.86,0.00,False
55,3,5,Nothing,2.41,0.00,False
55,3,6,Nothing,2.01,0.00,False
55,3,7,Nothing,1.90,0.00,False
55,3,8,Nothing,2.12,0.00,False
55,7,1,Nothing,2.05,0.00,False
55,7,2,Nothing,1.98,0.00,False
55,7,3,Nothing,1.82,0.00,False
55,7,4,Nothing,2.49,0.00,False
55,7,5,Nothing,2.00,0.00,False
55,7,6,Nothing,2.21,0.00,False
55,7,7,Nothing,2.13,0.00,False
55,7,8,Nothing,2.50,0.00,False
55,23,1,Nothing,2.04,0.00,False
55,23,2,Nothing,2.43,0.00,False
55,23,3,Nothing,2.42,0.00,False
55,23,4,Nothing,2.32,0.00,False
55,23,5,Nothing,2.78,0.00,False
55,23,6,Nothing,2.30,0.00,False
55,23,7,Nothing,2.57,0.00,False
55,23,8,Nothing,2.40,0.00,False
60,0,1,Nothing,2.06,0.00,False
60,3,1,Nothing,2.01,0.00,False
60,3,2,Nothing,2.24,0.00,False
60,3,3,Nothing,1.98,0.00,False
60,3,4,Nothing,2.10,0.00,False
60,3,5,Nothing,2.27,0.00,False
60,3,6,Nothing,2.18,0.00,False
60,3,7,Nothing,2.11,0.00,False
60,3,8,Nothing,2.39,0.00,False
60,7,1,Nothing,1.98,0.00,False
60,7,2,Nothing,1.81,0.00,False
60,7,3,Nothing,2.35,0.00,False
60,7,4,Nothing,2.07,0.00,False
60,7,5,Nothing,1.88,0.00,False
60,7,6,Nothing,2.40,0.00,False
60,7,7,Nothing,3.30,0.00,False
60,7,8,Nothing,2.16,0.00,False
60,23,1,Nothing,3.28,0.00,False
60,23,2,Nothing,3.25,0.00,False
60,23,3,Nothing,3.59,0.00,False
60,23,4,Nothing,2.97,0.00,False
60,23,5,Nothing,2.96,0.00,False
60,23,6,Nothing,2.68,0.00,False
60,23,7,Nothing,4.47,0.00,False
60,23,8,Nothing,2.90,0.00,False
65,0,1,Nothing,2.79,0.00,False
65,3,1,Nothing,2.85,0.00,False
65,3,2,Nothing,2.71,0.00,False
65,3,3,Nothing,2.88,0.00,False
65,3,4,Nothing,2.93,0.00,False
65,3,5,Nothing,3.02,0.00,False
65,3,6,Nothing,3.15,0.00,False
65,3,7,Nothing,2.73,0.00,False
65,3,8,Nothing,2.83,0.00,False
65,7,1,Nothing,3.38,0.00,False
65,7,2,Nothing,3.21,0.00,False
65,7,3,Nothing,2.50,0.00,False
65,7,4,Nothing,4.70,0.00,False
65,7,5,Nothing,2.83,0.00,False
65,7,6,Nothing,3.09,0.00,False
65,7,7,Nothing,4.25,0.00,False
65,7,8,Nothing,5.14,0.00,False
65,23,1,Nothing,2.96,0.00,False
65,23,2,Nothing,2.67,0.00,False
65,23,3,Nothing,4.76,0.00,False
65,23,4,Nothing,6.46,0.00,False
65,23,5,Nothing,5.14,0.00,False
65,23,6,Nothing,5.12,0.00,False
65,23,7,Nothing,5.76,0.00,False
65,23,8,Nothing,5.48,0.00,False
70,0,1,Nothing,4.29,0.00,False
70,3,1,Nothing,3.48,0.00,False
70,3,2,Nothing,4.20,0.00,False
70,3,3,Nothing,3.47,0.00,False
70,3,4,Nothing,4.94,0.00,False
70,3,5,Nothing,4.15,0.00,False
70,3,6,Nothing,4.57,0.00,False
70,3,7,Nothing,4.21,0.00,False
70,3,8,Nothing,4.41,0.00,False
70,7,1,Nothing,4.17,0.00,False
70,7,2,Nothing,4.06,0.00,False
70,7,3,Nothing,6.86,0.00,False
70,7,4,Nothing,1.90,0.00,False
70,7,5,Nothing,10.24,0.00,False
70,7,6,Nothing,4.67,0.00,False
70,7,7,Nothing,5.63,0.00,False
70,7,8,Nothing,4.07,0.00,False
70,23,1,Nothing,8.38,0.00,False
70,23,2,Nothing,7.91,0.00,False
70,23,3,Nothing,5.29,0.00,False
70,23,4,Nothing,8.80,0.00,False
70,23,5,Nothing,7.96,0.00,False
70,23,6,Nothing,13.84,0.00,False
70,23,7,Nothing,23.75,0.00,True
70,23,8,Nothing,6.41,0.00,False
75,0,1,Nothing,5.89,0.00,False
75,3,1,Nothing,6.16,0.00,False
75,3,2,Nothing,6.57,0.00,False
75,3,3,Nothing,1.87,0.00,False
75,3,4,Nothing,7.28,0.00,False
75,3,5,Nothing,8.45,0.00,False
75,3,6,Nothing,6.64,0.00,False
75,3,7,Nothing,6.00,0.00,False
75,3,8,Nothing,6.40,0.00,False
75,7,1,Nothing,7.81,0.00,False
75,7,2,Nothing,8.17,0.00,False
75,7,3,Nothing,7.72,0.00,False
75,7,4,Nothing,12.23,0.00,False
75,7,5,Nothing,6.53,0.00,False
75,7,6,Nothing,52.10,0.00,True
75,7,7,Nothing,7.32,0.00,False
75,7,8,Nothing,7.51,0.00,False
75,23,1,Nothing,49.97,0.00,False
75,23,2,Nothing,13.86,0.00,False
75,23,3,Nothing,10.45,0.00,False
75,23,4,Nothing,10.95,0.00,False
75,23,5,Nothing,1.91,0.00,False
75,23,6,Nothing,70.12,0.00,True
75,23,7,Nothing,70.41,0.00,True
75,23,8,Nothing,67.05,0.00,True
80,0,1,Nothing,20.28,0.00,False
80,3,1,Nothing,19.29,0.00,False
80,3,2,Nothing,6.01,0.00,False
80,3,3,Nothing,11.78,0.00,False
80,3,4,Nothing,17.03,0.00,False
80,3,5,Nothing,24.44,0.00,False
80,3,6,Nothing,9.21,0.00,False
80,3,7,Nothing,21.59,0.00,False
80,3,8,Nothing,13.26,0.00,False
80,7,1,Nothing,13.47,0.00,False
80,7,2,Nothing,22.46,0.00,False
80,7,3,Nothing,84.95,0.00,True
80,7,4,Nothing,16.08,0.00,False
80,7,5,Nothing,20.64,0.00,False
80,7,6,Nothing,83.44,0.00,True
80,7,7,Nothing,6.92,0.00,False
80,7,8,Nothing,86.81,0.00,True
80,23,1,Nothing,69.25,0.00,False
80,23,2,Nothing,32.03,0.00,False
80,23,3,Nothing,17.06,0.00,False
80,23,4,Nothing,13.63,0.00,False
80,23,5,Nothing,77.25,0.00,True
80,23,6,Nothing,90.57,0.00,True
80,23,7,Nothing,84.63,0.00,True
80,23,8,Nothing,88.37,0.00,True
85,0,1,Nothing,83.94,0.00,True
85,3,1,Nothing,84.12,0.00,True
85,3,2,Nothing,10.77,0.00,False
85,3,3,Nothing,13.24,0.00,False
85,3,4,Nothing,87.36,0.00,True
85,3,5,Nothing,21.29,0.00,False
85,3,6,Nothing,21.91,0.00,False
85,3,7,Nothing,83.94,0.00,True
85,3,8,Nothing,86.50,0.00,True
85,7,1,Nothing,84.83,0.00,True
85,7,2,Nothing,93.73,0.00,True
85,7,3,Nothing,93.66,0.00,True
85,7,4,Nothing,86.41,0.00,True
85,7,5,Nothing,85.44,0.00,True
85,7,6,Nothing,86.10,0.00,True
85,7,7,Nothing,83.73,0.00,True
85,7,8,Nothing,87.21,0.00,True
85,23,1,Nothing,64.89,0.00,False
85,23,2,Nothing,20.32,0.00,False
85,23,3,Nothing,50.81,0.00,False
85,23,4,Nothing,41.65,0.00,False
85,23,5,Nothing,91.05,0.00,True
85,23,6,Nothing,90.23,0.00,True
85,23,7,Nothing,94.64,0.00,True
85,23,8,Nothing,95.90,0.00,True
90,0,1,Nothing,93.49,0.00,True
90,3,1,Nothing,93.76,0.00,True
90,3,2,Nothing,93.94,0.00,True
90,3,3,Nothing,93.44,0.00,True
90,3,4,Nothing,94.03,0.00,True
90,3,5,Nothing,93.13,0.00,True
90,3,6,Nothing,93.87,0.00,True
90,3,7,Nothing,93.69,0.00,True
90,3,8,Nothing,93.59,0.00,True
90,7,1,Nothing,93.72,0.00,True
90,7,2,Nothing,93.58,0.00,True
90,7,3,Nothing,94.06,0.00,True
90,7,4,Nothing,94.26,0.00,True
90,7,5,Nothing,93.51,0.00,True
90,7,6,Nothing,97.37,0.00,True
90,7,7,Nothing,93.61,0.00,True
90,7,8,Nothing,94.51,0.00,True
90,23,1,Nothing,98.13,0.00,True
90,23,2,Nothing,62.26,0.00,False
90,23,3,Nothing,98.17,0.00,True
90,23,4,Nothing,98.19,0.00,True
90,23,5,Nothing,97.53,0.00,True
90,23,6,Nothing,98.04,0.00,True
90,23,7,Nothing,97.99,0.00,True
90,23,8,Nothing,95.39,0.00,True
50,0,1,Even,93.20,0.00,True
50,3,1,Even,96.82,0.00,True
50,3,2,Even,97.19,0.00,True
50,3,3,Even,96.91,0.00,True
50,3,4,Even,97.20,0.00,True
50,3,5,Even,96.55,0.00,True
50,3,6,Even,97.22,0.00,True
50,3,7,Even,96.99,0.00,True
50,3,8,Even,97.09,0.00,True
50,7,1,Even,97.12,0.00,True
50,7,2,Even,97.32,0.00,True
50,7,3,Even,97.07,0.00,True
50,7,4,Even,96.90,0.00,True
50,7,5,Even,96.35,0.00,True
50,7,6,Even,97.16,0.00,True
50,7,7,Even,1.57,10.03,False
50,7,8,Even,97.18,0.00,True
50,23,1,Even,1.60,10.27,False
50,23,2,Even,98.26,0.00,True
50,23,3,Even,97.54,0.00,True
50,23,4,Even,1.74,10.22,False
50,23,5,Even,1.62,10.03,False
50,23,6,Even,1.60,9.88,False
50,23,7,Even,1.69,9.99,False
50,23,8,Even,1.60,9.97,False
55,0,1,Even,1.64,10.09,False
55,3,1,Even,1.65,9.88,False
55,3,2,Even,1.64,10.18,False
55,3,3,Even,1.57,10.06,False
55,3,4,Even,97.07,0.00,True
55,3,5,Even,1.45,9.99,False
55,3,6,Even,1.56,10.04,False
55,3,7,Even,1.67,10.24,False
55,3,8,Even,1.59,10.18,False
55,7,1,Even,1.93,10.10,False
55,7,2,Even,1.75,9.96,False
55,7,3,Even,1.61,9.91,False
55,7,4,Even,1.65,10.20,False
55,7,5,Even,1.76,10.10,False
55,7,6,Even,1.54,10.22,False
55,7,7,Even,1.66,10.29,False
55,7,8,Even,1.56,9.98,False
55,23,1,Even,1.88,9.95,False
55,23,2,Even,1.65,10.20,False
55,23,3,Even,1.77,9.99,False
55,23,4,Even,1.71,9.96,False
